userWallet,total_txn,num_deposits,num_borrows,num_repays,num_redeems,num_liquidations,total_amount,avg_amount,std_amount,cluster,credit_score
0x001bc97d92e1a30b02d4e75be25f06063555d556,45,12,10,9,0,0,2.1403024302392424e+23,4.756227622753872e+21,6.961012333309168e+21,0,200
0x001be549fa377710b9e59d57bbdf593ce1e379ca,2,2,0,0,0,0,6240750099327031.0,3120375049663515.5,4412876693711560.0,0,200
0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,2,2,0,0,0,0,2.0000000000000097e+18,1.0000000000000049e+18,1.414213562373088e+18,0,200
0x001d2a3192a49e28cac0a7abcaa916648c62b982,1,1,0,0,0,0,6461144026105417.0,6461144026105417.0,0.0,0,200
0x001d4aa3f14b6e0019e5615e9c8eb50659061220,1,1,0,0,0,0,1109087.0,1109087.0,0.0,0,200
0x001f96b7e19a54ae45f451b0148336504d03fdcf,1,1,0,0,0,0,18485.0,18485.0,0.0,0,200
0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,6,5,0,0,0,0,1.218900412657475e+21,2.0315006877624582e+20,3.1308748716319795e+20,0,200
0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,1,1,0,0,0,0,23783.0,23783.0,0.0,0,200
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,1,0,0,0,0,0,2012030942630.0,2012030942630.0,0.0,0,200
0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,2,2,0,0,0,0,1.1352405889685975e+18,5.6762029448429875e+17,8.02736318737892e+17,0,200
0x00222d56e0509a5e9ab05c588c548290a5e9f876,1,1,0,0,0,0,4440486156185637.0,4440486156185637.0,0.0,0,200
0x002379916ac42a432f3b53f16782d33267debb4c,1,1,0,0,0,0,1.5e+18,1.5e+18,0.0,0,200
0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,2,2,0,0,0,0,2200000.0,1100000.0,0.0,0,200
0x0023d9ffe7d793895c5da5833d56c737832ead2b,2,2,0,0,0,0,14997724.0,7498862.0,3534997.918992598,0,200
0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,1,1,0,0,0,0,4999194.0,4999194.0,0.0,0,200
0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,2,2,0,0,0,0,1.2625001510457944e+16,6312500755228972.0,31530334465481.664,0,200
0x0024461e7a8ce7157866eaa4c24b702d328250ce,1,0,0,0,0,0,1012775168.0,1012775168.0,0.0,0,200
0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,1,1,0,0,0,0,2.5e+16,2.5e+16,0.0,0,200
0x00246f7813397868b1beec56e1677efa47816dae,44,30,9,2,0,0,1.0792894939202136e+22,2.4529306680004854e+20,4.390715181869709e+20,0,200
0x0025a856d01a898bd52286d56c52323b13937b65,1,1,0,0,0,0,1e+17,1e+17,0.0,0,200
0x00261d225db379b3fc74cd0228d6f90582d39035,2,1,1,0,0,0,3.92e+16,1.96e+16,2.0647518010647188e+16,0,200
0x00262ffcfda82b5582d1905ca05b849f196b0419,10,4,3,1,0,0,316514252.0,31651425.2,18248736.649321463,0,200
0x0026bc865efa2fb74d18c3be5a77c780756e50e6,1,1,0,0,0,0,450246121481307.0,450246121481307.0,0.0,0,200
0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,1,1,0,0,0,0,1851978.0,1851978.0,0.0,0,200
0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,1,1,0,0,0,0,9.7e+16,9.7e+16,0.0,0,200
0x002775390698ef16589bb22bba37ae7906ae2f36,30,17,7,5,0,0,1.527932118189648e+20,5.09310706063216e+18,1.1831425790290823e+19,0,200
0x0027c6cd01364a3c5d29f72269b36dfe85628193,1,1,0,0,0,0,1880888.0,1880888.0,0.0,0,200
0x0027f7335d610f15b325baa5798414548720fcaa,13,6,2,2,0,0,2.0055277465990928e+17,1.5427136512300714e+16,5.562332811446966e+16,0,200
0x00283b611db7844cb5677b311afd67c8e3078518,1,1,0,0,0,0,7200645.0,7200645.0,0.0,0,200
0x00296e3cb10f1ddf6be160aa9722d7a288957b66,1,1,0,0,0,0,4.72e+16,4.72e+16,0.0,0,200
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,2,2,0,0,0,0,2.6e+18,1.3e+18,1.414213562373095e+17,0,200
0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,1,1,0,0,0,0,1107978.0,1107978.0,0.0,0,200
0x002aea16059a7d4bef638a03b61a9e80ef07e745,41,12,10,5,0,0,4.560444124213382e+21,1.1123034449300932e+20,3.244452643278356e+20,0,200
0x002bb13a55bf4525f02717708dd4534ecc475193,2,2,0,0,0,0,3145177.0,1572588.5,1111711.1600611464,0,200
0x002c77a71d54e6da4b28690fe1676752a74a67eb,1,1,0,0,0,0,1151220.0,1151220.0,0.0,0,200
0x002cd2707daccbd5f3f192a565fca0a2cea021a6,5,2,1,1,0,0,1.0000000000157204e+18,2.000000000031441e+17,4.4721359549820026e+17,0,200
0x002d2715b179d0db3e17cc28317a98f2f65e6884,253,98,64,38,0,0,1.6011789133329383e+23,6.328770408430586e+20,1.7842028485962954e+21,4,1000
0x002d59b6a7b3483c8c1ef38c90cbe7790aeaea50,1,1,0,0,0,0,4674990964187967.0,4674990964187967.0,0.0,0,200
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,29,5,5,16,0,0,1.5200000000007883e+22,5.241379310347546e+20,1.9371656711386688e+21,0,200
0x002de04d579930686698abab5f48bda0b24fb9fc,85,32,13,15,0,0,9.579371025942373e+21,1.1269848265814557e+20,4.48671604709297e+20,1,400
0x002e5e69ae7c8999834ee24aeb5c26ad05433820,4,1,1,1,0,0,4.7914e+22,1.19785e+22,1.0944829053027737e+22,0,200
0x002e7ea05d6721a04cd36ab5e9f2c72338d7f7f3,6,1,0,0,0,0,8.50816325133452e+19,1.4180272085557533e+19,3.473443102262276e+19,0,200
0x002eba74e10ff40a1bc1cfa2b9684f9e28f8dea7,1,1,0,0,0,0,12183.0,12183.0,0.0,0,200
0x002f93d5a1ca66a2a64b490bd0a0291c1a1c02b6,108,61,26,12,0,0,5.781978969252052e+21,5.353684230788937e+19,1.249976953741854e+20,1,400
0x0030040e8d836ac3e546c354f9b373e70a14deeb,2,0,0,0,0,0,44842195767.0,22421097883.5,27720898060.980038,0,200
0x00301da1d3b20fd6b8451a791a8b1a5e20599fb8,58,35,23,0,0,0,1.4597786848117417e+22,2.5168598013995545e+20,4.402589393625679e+20,1,400
0x00305f0dc87d6bf12ac07e37ac0d2336d5906b93,1,1,0,0,0,0,6764030347976762.0,6764030347976762.0,0.0,0,200
0x003064605a8677d5b2e8def620ac67d8f1f1b5ed,3,1,0,0,0,0,394981473.0,131660491.0,56594674.57352541,0,200
0x003094a91a3b5523bc601b221f80183bd347e9ae,2,2,0,0,0,0,2200000.0,1100000.0,0.0,0,200
0x0030a2c2268c9faafeae8ea22802db8b3c87f82c,1,1,0,0,0,0,165694780930095.0,165694780930095.0,0.0,0,200
0x0030d58fd7c5af92c6e9bbf4d06255b6a9d1490a,67,37,11,11,0,0,2.9717156799590784e+23,4.435396537252356e+21,7.816951755452642e+21,1,400
0x0030de8f624d2b2513c6dbbff788bb109b80304d,1,1,0,0,0,0,512154521788658.0,512154521788658.0,0.0,0,200
0x0030e3b40e23f92bd064457fd1fb848482a0bde5,2,2,0,0,0,0,32765593476.0,16382796738.0,23166207946.008087,0,200
0x0030ee334630838ea4dee0b4b6ecbc973529031f,16,8,7,1,0,0,4.6950000000056065e+21,2.934375000003504e+20,4.3142677536261086e+20,0,200
0x0031fc2cc920357b9767ab93200c5bf69c43e8e7,1,1,0,0,0,0,1.0711849113594033e+18,1.0711849113594033e+18,0.0,0,200
0x00326e37cef76788f6b0cf643c94481d60bd3d58,2,2,0,0,0,0,3e+19,1.5e+19,7.071067811865475e+18,0,200
0x00329e92ed6fd0a0ef76da9c476d51faeb6b26a0,523,179,154,148,0,0,6.586858275366417e+24,1.259437528750749e+22,3.5378063362055494e+22,3,800
0x003325d3054cd7668fb16f19ea11bae6d02a474c,5,0,0,0,0,0,2005930544632.0,401186108926.4,417217907863.62646,0,200
0x0034baeeb160a5f1032b6d124d3e87cc94d74e62,162,59,45,21,0,0,1.7567747675031724e+26,1.0844288688291187e+24,1.9580230027251083e+24,2,600
0x0034d2a08772822866b08d2c585e5c8e25723760,1,1,0,0,0,0,4.76e+20,4.76e+20,0.0,0,200
0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c,5,0,0,0,0,0,6.548688628031852e+19,1.3097377256063703e+19,1.2141570720964284e+19,0,200
0x0035e2e614e53a5ebf5a518dede926a7fcec4f91,26,14,8,2,0,0,1.7376133209309255e+21,6.683128157426636e+19,1.36082899335761e+20,0,200
0x0036472d3ca5e7ab22477d62682b2a3d9436d328,1,1,0,0,0,0,1e+19,1e+19,0.0,0,200
0x0036534c48a754163f0f446601f36bcfda840f57,27,7,8,7,0,0,1.217984521402147e+21,4.511053782970914e+19,1.319308741000121e+20,0,200
0x00368bb9dba2ee83f3553feae59710b9c3743e09,11,9,1,0,0,0,1.100961657610452e+21,1.00087423419132e+20,1.9854041311859163e+20,0,200
0x0036a2f1f6136bb9d7992f7def692126a279e702,1,1,0,0,0,0,3992596985892630.0,3992596985892630.0,0.0,0,200
0x0036a3f98bc84afb07fe42421f5a14cfe3c33219,43,9,14,14,0,0,6.10773693291581e+21,1.4204039378873976e+20,2.4555902610284947e+20,1,400
0x0036bc671c03460dec7d0ab24f45df0cf33d042b,12,4,2,2,0,0,3.6628217040403893e+21,3.052351420033658e+20,3.535511969607364e+20,0,200
0x0037643e4ec2b622270676e9e7aa163b261cfb79,1,1,0,0,0,0,1843331.0,1843331.0,0.0,0,200
0x0037aca1c1c45787a95c11dfaabed6308dc2ff80,9,3,0,0,0,0,99237659169.0,11026406574.333334,7346640454.827721,0,200
0x0037daf6fb154db55110ced85cb4ba9e1204ca17,28,7,13,0,0,0,1.174574738368212e+20,4.1949097798864717e+18,7.46180833263198e+18,0,200
0x0038281701bf3f51fdbb18903c6e18776780a9a1,1,1,0,0,0,0,1100000.0,1100000.0,0.0,0,200
0x00389de87cae34a6f89e13cc8225c4984add8b37,610,328,100,76,0,0,2.76368471008302e+24,4.530630672267246e+21,1.7150082530336842e+22,3,800
0x0039e71541bdc798d062346bce94230bf519bb72,2,1,1,0,0,0,3.75e+16,1.875e+16,1.9445436482630056e+16,0,200
0x0039e762ecd8e8f074e93575dc395abfce4ef8b6,6,2,0,0,0,0,1.8960000000023987e+22,3.1600000000039977e+21,4.904854737907095e+21,0,200
0x003a85c562730b196f7cba202a2515f2ff855736,177,131,22,12,0,0,4.141396296797533e+23,2.3397719190946516e+21,1.2918728637279338e+22,1,400
0x003a969ef82e876824b4131a1bbafbdb46a2ca90,13,4,5,4,0,0,1.7300000000017718e+21,1.3307692307705938e+20,2.4071506722617986e+20,0,200
0x003ae57782ab0f390908f8d7a3a9680bcfc62ec0,2,2,0,0,0,0,2105972.0,1052986.0,32386.90479190625,0,200
0x003ae6c26a2655eb54c1e53b03a266d97f3512e6,43,39,3,0,0,0,4.761479450875272e+20,1.1073208025291332e+19,2.560932397300769e+19,0,200
0x003b2816d976cebbf0cadec981ff59286b6d7f2f,4,2,0,0,0,0,283789411.0,70947352.75,54743620.95744919,0,200
0x003be39433bde975b12411fbc3025d49d813a84f,4,0,1,0,0,0,735469.0,183867.25,367734.5,0,200
0x003cb0842811db8d115e28f13048dd83db391dcb,1,1,0,0,0,0,1626066.0,1626066.0,0.0,0,200
0x003dc03b7d7fe265e1c1db88bb1c6b1e6bcd06a7,1,1,0,0,0,0,6308462378533841.0,6308462378533841.0,0.0,0,200
0x003e41b4f19f27ab2a07c19abe2d99ecb492ce62,6,0,1,3,0,0,5.003784174000036e+21,8.339640290000061e+20,2.041806695709978e+21,0,200
0x003e9a119439ef34de3237034cee95675b01d5d4,31,6,9,8,0,0,2.493966787948232e+19,8.045054154671716e+17,2.0601402610249e+18,0,200
0x003ed65a094ef804c934f2427b601e03113882ff,2,2,0,0,0,0,200000000000000.0,100000000000000.0,0.0,0,200
0x003edfecb016131dbd485c72f3b6f2e98a1429d9,144,59,50,16,0,0,1.5548653136842648e+21,1.0797675789474062e+19,3.995998044560646e+19,1,400
0x003f705c2e62e268891d8aa2724e32f2176dc963,1,1,0,0,0,0,1e+19,1e+19,0.0,0,200
0x00402e826833fbeb6f67072f3df3c8554a0b10e6,39,19,3,4,0,0,2.927312861056389e+21,7.5059304129651e+19,2.649204524789535e+20,0,200
0x00405f7b768a9a6b81e8060a17f0550501acf6be,144,87,40,0,0,0,7.740167828926012e+18,5.375116547865286e+16,1.94152663131352e+17,1,400
0x0040932d4c252856709b24dc406244392d3df400,2,1,0,0,0,0,19541205.0,9770602.5,0.7071067811865476,0,200
0x0040daac32d83c78546ae36da42a496b28ab09e1,6,6,0,0,0,0,1.156e+21,1.9266666666666666e+20,3.100939642538478e+20,0,200
0x00418b8ea6c6e2d5676f651bf76a368adb845e91,1,1,0,0,0,0,5e+17,5e+17,0.0,0,200
0x0041dac13d9365b4d695fb612950dc71884f8db1,154,43,34,55,0,0,4.652870901243438e+21,3.0213447410671673e+19,8.785308349064567e+19,4,1000
0x0043090d0a3338eb89914ea9af5c529e928a044c,2,1,0,0,0,0,18209195678.0,9104597839.0,889.5403307326768,0,200
0x0043260ff376a32f335de2091e8bd455d74ecef9,1,1,0,0,0,0,1106700.0,1106700.0,0.0,0,200
0x00432772ed25d4eb3c6eb26dc461239b35cf8760,1,1,0,0,0,0,4428075463800590.0,4428075463800590.0,0.0,0,200
0x00432beb667c8908a74f35fef62882b502347e61,3,2,0,0,0,0,41672648.0,13890882.666666666,6023456.778610297,0,200
0x00433d27687ff685d3871395d7fedfd42b1c3529,30,29,0,0,0,0,1.3510902210879336e+20,4.503634070293112e+18,6.371172890885093e+18,0,200
0x0043f8113eb1257bc6314fe0434eec0d9bac3837,8,7,0,0,0,0,1.2822400000040087e+20,1.6028000000050108e+19,4.002200149201356e+19,0,200
0x004403abb2246c48ac770e30e7b36e3b16e152a1,12,3,5,3,0,0,1.2250585281848185e+19,1.0208821068206821e+18,2.1599074666412718e+18,0,200
0x00447d3b5f40e1bb71766b5ffc656f5391f6e9d8,2,1,0,0,0,0,2080001698.0,1040000849.0,15.556349186104045,0,200
0x0044803a27c6c45babd3fb7affb80b3f913579d7,67,33,13,6,0,0,4.1841406650410225e+20,6.244986067225406e+18,2.8993297084465672e+19,1,400
0x0044f0ab1281b2bc850bfa39123dec1e8e09001d,49,10,23,7,0,0,4.618724774154522e+21,9.425968926845963e+19,4.0103634295943345e+20,1,400
0x00452d3fd0e6bd68943b30af56a8df4eb7685387,6,1,1,1,0,0,2.624000000054961e+20,4.373333333424935e+19,1.0712435141726891e+20,0,200
0x004624a132094f106e977c369c8f2e1ebffb2ae1,1,1,0,0,0,0,1106565.0,1106565.0,0.0,0,200
0x0046d10482bc3ae87fa4cb550e36706addf2304a,1,1,0,0,0,0,1108121.0,1108121.0,0.0,0,200
0x004815f49c32e9ef6341dc2d53411a59de5a2daa,1,1,0,0,0,0,8.2e+19,8.2e+19,0.0,0,200
